Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
418,Gujarat_24,Patan_455,Chanasma_3750,Takodi_162898,Takodi,Takodi,Piezometer,SGWD,G_1_PTN_006,23.615,72.14611,89.4,Unconfined,8.5,7.7,8.7,6.2,10.0,9.1,10.2,9.9,10.3,9.7,10.1,9.7,10.65,8.8,10.4,7.6
420,Gujarat_24,Patan_455,Patan_3747,Dighdi_162969,Digadi,,Piezometer,SGWD,G_1_PTN_015,23.83,72.22,90.0,Unconfined,35.5,33.9,32.8,33.0,35.4,33.8,32.65,33.7,36.3,36.4,34.7,32.2,53.3,51.5,52.8,48.6
421,Gujarat_24,Patan_455,Patan_3747,Dudharampura_162971,Dudharampura,,Piezometer,SGWD,G_1_PTN_014,23.86,72.03,87.0,Unconfined,56.4,56.1,57.0,56.5,59.6,55.0,58.0,57.5,59.8,55.0,59.5,58.0,59.1,57.4,58.9,55.3
422,Gujarat_24,Patan_455,Patan_3747,Hajipur_162983,Hajipur,Hajipur,Piezometer,SGWD,PSSCPZ-037,23.86583,72.1975,57.35,Unconfined,23.4,23.5,25.3,23.5,24.9,22.4,24.65,26.5,26.5,21.5,35.1,24.1,27.3,25.6,27.6,23.6
423,Gujarat_24,Patan_455,Patan_3747,Kamlivada_162993,Kamlivada,Kamlivada,Piezometer,SGWD,PSSCPZ-036,23.86361,72.23,57.3,Unconfined,44.8,45.1,43.4,45.6,46.9,46.0,45.8,47.5,48.7,45.9,50.3,50.2,48.5,47.05,47.9,45.4
424,Gujarat_24,Patan_455,Patan_3747,Kungher_163011,Kungher,Kungher,Piezometer,SGWD,PTNPZ-12,23.79583,72.06444,150.0,confined I,99.6,105.05,103.6,100.0,103.7,99.8,99.1,101.65,102.9,94.4,102.2,98.0,101.7,99.8,101.4,98.7
425,Gujarat_24,Patan_455,Patan_3747,Matpur_163022,Matpur,Matpur,Piezometer,SGWD,PSSCPZ-032,23.77944,72.28389,60.0,Unconfined,15.4,13.5,14.6,13.1,14.5,12.1,13.5,15.0,16.5,15.2,14.5,13.2,13.85,12.3,13.5,10.2
426,Gujarat_24,Patan_455,Patan_3747,Mithivavdi_163025,Mithi Vavadi,Mithi Vavadi,Dug Well,SGWD,NEW-09,23.7625,72.11,28.0,Unconfined,16.7,12.75,13.6,13.1,13.7,11.7,12.7,13.0,13.2,13.8,13.5,12.7,13.8,10.34,14.6,11.2
428,Gujarat_24,Patan_455,Patan_3747,Ruvavi_163041,Ruvavi,,Piezometer,SGWD,PTNPZ-24,23.77,72.3,200.0,Confined II,162.97,167.27,166.37,166.57,165.67,168.17,167.57,164.37,165.07,164.27,172.07,164.97,172.17,170.17,171.87,167.87
429,Gujarat_24,Patan_455,Patan_3747,Ruvavi_163041,Ruvavi,Ruvavi,Dug Well,SGWD,NEW-08,23.77028,72.30028,35.1,Unconfined,15.9,14.3,17.3,13.6,17.0,12.9,16.9,16.1,19.8,18.6,19.9,15.5,17.2,15.42,16.2,12.7
430,Gujarat_24,Patan_455,Patan_3747,Ruvavi_163041,Ruvavi,Ruvavi,Piezometer,SGWD,PSSCPZ-031,23.77028,72.30028,53.9,Unconfined,8.1,7.2,7.9,7.1,9.6,7.1,8.6,10.5,11.2,10.0,9.7,7.45,8.4,7.15,14.2,6.3
433,Gujarat_24,Patan_455,Patan_3747,Sankhari_163049,Sankhari,Sankhari,Piezometer,SGWD,G_1_PTN_021,23.77917,72.16278,89.0,Unconfined,28.3,28.2,28.0,26.4,26.2,25.35,26.15,27.0,28.0,22.9,27.1,26.3,34.5,31.2,34.1,31.8
434,Gujarat_24,Patan_455,Patan_3747,Sankhari_163049,Sankhari,Sankhari,Dug Well,SGWD,MSH-043A,23.77917,72.16278,29.3,Unconfined,17.8,15.8,17.9,15.5,17.1,14.8,15.4,16.2,20.7,15.8,14.3,10.5,11.4,10.3,15.1,10.3
435,Gujarat_24,Patan_455,Patan_3747,Santi_163051,Santi,Santi,Piezometer,SGWD,PSSCPZ-035,23.84972,72.21972,57.11,Unconfined,30.8,20.6,28.7,22.6,24.2,31.4,36.4,21.4,36.4,21.8,26.8,20.8,23.3,21.7,27.9,19.6
436,Gujarat_24,Patan_455,Patan_3747,Vadli_163064,Vadli,,Piezometer,SGWD,HPIIPTN004,23.85,72.05,55.03,Unconfined,35.3,34.4,33.4,34.5,35.6,34.8,34.1,34.4,35.5,33.5,35.3,34.0,33.9,32.6,33.1,31.3
437,Gujarat_24,Patan_455,Sarasvati_6196,Abalouva_162938,Abalouva,,Piezometer,SGWD,G_1_PTN_012,24.03,72.14,90.0,Unconfined,57.2,55.4,56.1,56.1,59.1,57.9,61.0,61.8,68.4,64.1,69.8,69.5,73.1,71.3,77.2,72.2
438,Gujarat_24,Patan_455,Sarasvati_6196,Ajimana_162940,Ajimana,,Piezometer,SGWD,G_1_PTN_013,23.89,72.2,90.0,Unconfined,71.4,71.9,71.6,71.7,72.6,72.4,72.5,73.2,73.2,72.4,75.2,73.3,73.9,72.6,72.4,71.6
440,Gujarat_24,Patan_455,Sarasvati_6196,Gulvasna_162980,Gulvasna,Gulvasna,Piezometer,SGWD,PSSCPZ-038,23.90778,72.1825,57.53,Unconfined,9.7,7.5,7.9,2.55,9.5,7.1,12.1,8.7,17.1,12.2,15.1,7.3,14.15,8.5,13.9,8.2
441,Gujarat_24,Patan_455,Sarasvati_6196,Khodana_163006,Khodana,,Piezometer,SGWD,G_1_PTN_017,24.08,72.21,89.0,Unconfined,52.95,52.8,52.9,50.8,53.1,53.0,50.7,52.2,55.4,49.6,56.6,57.4,57.2,55.8,62.6,59.8
442,Gujarat_24,Patan_455,Sarasvati_6196,Kimbuva_163007,Kimbuva,Kimbuva,Piezometer,SGWD,PSSCPZ-039,23.93417,72.16917,57.96,Unconfined,16.6,16.2,15.6,13.15,15.9,15.3,16.9,16.3,22.0,19.0,19.0,17.2,21.45,19.75,21.5,18.3
443,Gujarat_24,Patan_455,Sarasvati_6196,Koita_163008,Koita,,Piezometer,SGWD,PTNPZ-14,24.07,72.16,249.98,Confined II,149.2,135.4,135.6,132.1,141.5,135.1,138.1,137.45,160.1,130.6,164.1,145.4,164.1,161.9,164.7,148.3
444,Gujarat_24,Patan_455,Sarasvati_6196,Morpa_163026,Morpa,Morpa,Piezometer,SGWD,PSSCPZ-042,23.98639,72.11417,56.0,Unconfined,42.3,42.5,42.8,42.7,43.5,42.15,42.8,43.0,44.3,41.7,20.5,18.0,24.0,22.4,24.4,21.1
445,Gujarat_24,Patan_455,Sarasvati_6196,Muna_163028,Muna-Ii,,Piezometer,SGWD,G_1_PTN_019,24.14,72.13,150.0,Confined II,96.7,91.5,96.6,94.1,99.6,97.0,100.4,98.0,105.2,105.5,120.9,112.2,120.1,118.2,121.4,119.7
446,Gujarat_24,Patan_455,Sarasvati_6196,Siyol_163055,Siyol,Siyol-I,Piezometer,SGWD,G_1_PTN_022,23.95361,72.1825,90.0,Unconfined,34.1,34.0,34.3,33.45,34.6,32.8,32.7,33.1,34.3,33.7,34.7,33.2,33.1,31.65,32.9,31.7
447,Gujarat_24,Patan_455,Sarasvati_6196,Siyol_163055,Siyol,Siyol-ii,Piezometer,SGWD,G_1_PTN_023,23.95361,72.1825,150.0,Confined I,41.8,42.4,41.8,39.55,41.55,39.0,39.9,40.2,42.1,39.8,42.2,40.0,40.3,38.85,40.4,38.4
448,Gujarat_24,Patan_455,Sarasvati_6196,Vadu_163065,Vadu,Vadu,Piezometer,SGWD,PSSCPZ-040,23.95083,72.15694,57.43,Unconfined,17.2,17.9,17.3,13.9,17.2,17.2,17.4,18.3,25.3,23.7,19.3,15.8,21.3,19.75,20.8,17.2
449,Gujarat_24,Patan_455,Sarasvati_6196,Vayad_163072,Vayad,,Piezometer,SGWD,PTNPZ-13,24.03,72.05,250.0,Confined II,110.48,111.98,112.88,107.88,112.28,105.38,112.08,107.18,125.98,108.18,122.58,121.08,122.08,120.48,122.98,113.78
450,Gujarat_24,Patan_455,Sidhpur_3746,,Sidhpur-Iii,,Piezometer,SGWD,MSHPZ-235,23.92,72.38,245.2,Confined II,76.8,74.9,74.5,74.05,74.1,71.8,71.7,71.55,73.6,72.8,75.1,74.2,73.9,72.5,73.8,72.3
451,Gujarat_24,Patan_455,Sidhpur_3746,,Sidhpur-I,,Piezometer,SGWD,MSHPZ-233,23.92,72.38,150.05,Confined I,128.96,125.0,125.1,124.0,125.1,124.7,127.7,123.8,124.0,122.0,124.2,110.2,123.0,121.85,121.9,115.8
455,Gujarat_24,Patan_455,Sidhpur_3746,Ganvada_163258,Ganvada-I,,Piezometer,SGWD,G_1_PTN_073,23.91,72.46,89.8,Unconfined,49.0,47.9,50.3,47.0,49.7,47.7,49.1,49.2,49.4,49.6,49.0,48.7,49.15,47.9,49.9,47.2
456,Gujarat_24,Patan_455,Sidhpur_3746,Ganvada_163258,Ganvada-Ii,,Piezometer,SGWD,G_1_PTN_074,23.91,72.46,149.63,Confined I,73.5,73.6,63.6,63.1,64.4,62.9,64.3,64.4,64.3,63.6,65.0,64.3,65.2,63.6,66.2,65.1
457,Gujarat_24,Patan_455,Sidhpur_3746,Kalyana_163263,Kalyana-I,,Piezometer,SGWD,PTNPZ-16,23.96,72.24,149.9,Confined I,65.1,57.4,66.5,65.15,66.8,65.2,64.9,65.2,66.7,63.9,64.4,60.0,65.0,55.85,65.1,58.7
458,Gujarat_24,Patan_455,Sidhpur_3746,Kalyana_163263,Kalyana-Iii,,Piezometer,SGWD,PTNPZ-18,23.96,72.24,245.0,Confined II,184.92,175.22,184.82,157.92,185.32,159.22,196.02,185.27,193.82,168.52,185.72,176.92,184.94,182.37,184.72,181.52
459,Gujarat_24,Patan_455,Sidhpur_3746,Kalyana_163263,Kalyana-2-A,,Piezometer,SGWD,HPIIPTN010,23.96,72.24,210.0,Confined II,169.2,174.0,171.4,165.1,174.0,172.1,174.9,169.0,170.5,165.9,171.9,174.0,170.6,168.75,170.3,165.9
460,Gujarat_24,Patan_455,Sidhpur_3746,Kalyana_163263,Kalyana,Kalyana,Dug Well,SGWD,MSH-040,23.95944,72.24,30.0,Unconfined,26.8,17.3,22.8,20.9,16.3,12.7,14.6,14.0,24.9,16.5,14.8,13.1,12.9,10.5,11.5,7.6
462,Gujarat_24,Patan_455,Sidhpur_3746,Metrana_163276,Metrana-I,,Piezometer,SGWD,G_1_PTN_075,23.98,72.29,90.0,Unconfined,64.3,62.2,66.5,64.4,64.45,63.8,64.9,64.3,63.7,60.0,64.7,64.9,64.7,62.8,63.9,61.2
463,Gujarat_24,Patan_455,Sidhpur_3746,Metrana_163276,Metrana-Ii,,Piezometer,SGWD,G_1_PTN_076,23.98,72.29,149.66,Confined I,115.5,115.7,115.6,110.4,113.3,111.9,112.2,113.8,112.0,108.6,109.9,106.6,109.09,107.45,108.8,107.2
464,Gujarat_24,Patan_455,Sidhpur_3746,Tavadia_163292,Tavadia,,Piezometer,SGWD,PTNPZ-21,23.94,72.33,197.28,Confined II,169.3,170.8,173.2,172.8,172.8,165.5,174.8,171.75,174.0,171.6,172.4,170.2,171.3,169.8,172.1,169.8
465,Gujarat_24,Sabarkantha_458,Idar_3763,,Idar,Idar,Dug Well,SGWD,SK-035,23.84639,72.99611,21.2,Unconfined,5.5,2.4,8.4,2.7,10.8,1.9,7.8,2.8,9.6,1.8,7.7,1.8,10.8,3.7,9.8,8.0
466,Gujarat_24,Sabarkantha_458,Idar_3763,Bhadresar_164520,Bhadresar,,Piezometer,SGWD,SKTPZ-289,23.75,73.03,60.0,Unconfined,12.8,5.3,12.3,8.0,16.7,2.6,10.2,7.8,15.95,2.3,5.1,3.7,7.9,2.1,6.3,1.0
467,Gujarat_24,Sabarkantha_458,Idar_3763,Bhadresar_164520,Bhadresar,Bhadresar,Dug Well,SGWD,SK-050,23.74639,73.02833,20.3,Unconfined,12.4,8.5,15.8,7.6,15.7,8.6,14.8,5.7,14.5,4.1,15.1,7.2,12.8,7.3,13.5,11.0
469,Gujarat_24,Sabarkantha_458,Idar_3763,Bhutiya_164522,Bhutiya,,Piezometer,SGWD,G_1_SK_001,23.87,73.08,60.0,Unconfined,14.2,7.3,14.5,9.0,15.6,4.3,12.5,6.3,14.3,4.8,12.6,4.2,13.3,9.6,15.9,5.7
472,Gujarat_24,Sabarkantha_458,Idar_3763,Chhapi_510084,Chhapi,Chhapi,Piezometer,SGWD,SKTPZ-290,23.82167,72.84611,27.4,Unconfined,11.3,6.5,12.0,8.0,14.6,5.8,11.5,10.9,19.1,9.0,14.9,8.2,16.5,16.6,21.3,14.2
473,Gujarat_24,Sabarkantha_458,Idar_3763,Daramli_164530,Daramli,,Piezometer,SGWD,G_1_SK_002,23.76,72.99,60.0,Unconfined,38.1,19.4,36.4,18.4,34.8,14.1,26.4,16.6,35.6,13.0,21.0,12.9,20.2,13.4,22.1,11.8
474,Gujarat_24,Sabarkantha_458,Idar_3763,Davad_164531,Davad,,Piezometer,SGWD,SKTPZ-309,23.73,72.85,60.0,Unconfined,15.1,12.9,19.1,14.5,22.1,9.1,15.6,13.5,22.0,15.8,21.7,15.6,22.1,19.5,25.6,18.6
475,Gujarat_24,Sabarkantha_458,Idar_3763,Falasan_164537,Falasan,,Piezometer,SGWD,SKTPZ-010,23.86,72.8,60.0,Unconfined,11.7,9.5,13.5,13.0,15.6,9.1,12.5,12.6,16.5,12.9,16.6,12.0,16.1,13.9,16.7,11.2
476,Gujarat_24,Sabarkantha_458,Idar_3763,Finchod_164538,Finchod,Finchod,Dug Well,SGWD,SK-044A,23.85643,72.84283,25.6,Unconfined,12.8,6.8,14.9,14.9,23.2,4.2,14.4,14.3,22.5,12.3,19.4,6.0,20.6,14.9,21.4,13.3
477,Gujarat_24,Sabarkantha_458,Idar_3763,Golvada_164541,Golvada,Golvada,Dug Well,SGWD,SK-046A,23.90167,72.83583,25.65,Unconfined,13.75,9.95,13.75,12.25,20.05,4.45,15.05,9.55,17.85,9.25,9.4,9.45,16.65,12.15,13.95,6.8
478,Gujarat_24,Sabarkantha_458,Idar_3763,Jadar_164550,Jadar,Jadar,Dug Well,SGWD,SK-037,23.7425,72.93667,25.8,Unconfined,16.3,9.3,17.6,11.2,18.2,5.7,16.2,11.1,11.3,7.0,16.1,5.5,15.6,10.2,16.9,14.2
479,Gujarat_24,Sabarkantha_458,Idar_3763,Jashvantgadh_164552,Jashvantgadh,Jashvantgadh,Dug Well,SGWD,SK-041,23.80278,72.8775,28.0,Unconfined,8.9,8.3,9.1,4.7,10.1,2.4,11.1,8.6,12.0,6.8,8.5,3.2,7.8,7.4,15.3,12.3
480,Gujarat_24,Sabarkantha_458,Idar_3763,Kadiyadara_164555,Kadiyadara,Kadiyadara,Dug Well,SGWD,SK-051,23.88722,73.09611,32.25,Unconfined,18.4,11.0,18.5,17.8,20.4,9.5,25.3,24.1,30.8,13.7,27.0,11.1,24.5,22.76,25.3,15.1
481,Gujarat_24,Sabarkantha_458,Idar_3763,Lalpur (Badoli)_164565,Kuski,Idar,Dug Well,CGWB,W235030073021501,23.84074,73.03973,16.39,Unconfined,9.3,5.5,9.7,5.22,9.25,4.0,9.03,9.3,9.99,6.5,9.09,4.85,9.3,7.22,10.4,5.32
482,Gujarat_24,Sabarkantha_458,Idar_3763,Lalpur (Badoli)_164565,Lalpur (Badoli),Lalpur (Badoli),Dug Well,SGWD,SK-049,23.83583,73.05417,32.5,Unconfined,20.4,7.9,20.9,16.1,24.9,7.4,20.0,13.9,23.7,11.1,22.4,10.5,20.5,16.1,24.3,16.4
483,Gujarat_24,Sabarkantha_458,Idar_3763,Madhva_164568,Sudrasana,Sudrasana,Dug Well,SGWD,SK-043A,23.83313,72.79948,23.6,Unconfined,13.2,6.0,14.1,12.1,17.0,4.8,15.2,10.1,20.4,7.7,18.4,11.0,15.0,14.3,19.2,9.3
484,Gujarat_24,Sabarkantha_458,Idar_3763,Mota Kotda_164575,Mota Kotda,,Piezometer,SGWD,G_1_SK_003,23.71,73.09,60.0,Unconfined,19.2,4.0,21.2,8.5,30.4,4.1,19.9,7.4,29.9,2.6,14.3,4.3,15.1,6.8,14.7,3.8
485,Gujarat_24,Sabarkantha_458,Idar_3763,Ravol_164589,Ravol,Ravol,Dug Well,SGWD,SK-045,23.88611,72.84861,30.2,Unconfined,17.1,7.2,12.0,8.2,10.6,2.3,10.0,8.6,10.1,6.2,12.6,4.7,11.9,9.6,11.3,8.2
486,Gujarat_24,Sabarkantha_458,Idar_3763,Revas_164590,Revas,Revas,Dug Well,CGWB,W234915073070001,23.81981,73.11958,50.01,Unconfined,16.5,15.6,21.7,12.2,19.25,12.15,16.9,10.4,20.61,6.92,15.6,8.51,13.4,10.7,15.4,9.4
487,Gujarat_24,Sabarkantha_458,Idar_3763,Umedgadh_244161,Umedgadh,,Piezometer,SGWD,G_1_SK_005,23.80798,72.90653,60.0,Unconfined,16.8,4.5,14.1,5.6,27.8,1.9,11.9,6.0,15.8,2.5,12.4,3.4,12.5,5.2,13.4,2.3
488,Gujarat_24,Sabarkantha_458,Idar_3763,Umedpura_164600,Umedpura,,Piezometer,SGWD,SKTPZ-011,23.85575,72.9407,60.0,Unconfined,27.9,4.2,29.8,10.6,29.8,10.6,28.4,21.5,32.0,2.5,26.1,3.8,23.8,13.2,31.5,23.5
489,Gujarat_24,Sabarkantha_458,Idar_3763,Vasai_164602,Vasai,,Piezometer,SGWD,G_1_SK_006,23.81,73.14,50.0,Unconfined,15.7,7.6,19.2,10.0,26.5,6.2,16.9,8.6,21.0,5.6,12.3,6.7,10.9,8.0,20.5,6.3
490,Gujarat_24,Sabarkantha_458,Idar_3763,Verabar_164603,Verabar,,Piezometer,SGWD,G_1_SK_007,23.91,72.88,60.0,Unconfined,4.7,1.8,5.0,5.4,2.9,0.8,3.5,7.8,9.6,4.5,7.1,2.9,5.2,4.4,10.2,1.5
491,Gujarat_24,Sabarkantha_458,Prantij_3767,Balisana_164793,Balisana,Balisana,Piezometer,SGWD,SSSSKPZ-06,23.38778,72.87139,46.0,Unconfined,34.4,31.2,35.8,35.6,37.0,34.5,36.1,38.1,39.5,29.3,34.75,28.5,34.8,32.6,35.4,33.0
492,Gujarat_24,Sabarkantha_458,Prantij_3767,Dalpur_164797,Dalpur,,Piezometer,SGWD,HPII_SK_002,23.51,72.93,41.0,Unconfined,27.5,24.6,27.5,27.5,31.1,24.2,27.2,25.7,30.2,25.1,26.8,22.2,23.8,23.4,25.6,22.6
493,Gujarat_24,Sabarkantha_458,Prantij_3767,Ghadi_164801,Ghadi,Ghadi,Dug Well,SGWD,SK-122,23.44167,72.97417,17.8,Unconfined,11.2,9.3,12.0,9.3,15.1,10.4,13.1,10.3,15.5,7.6,13.9,8.4,10.5,8.4,12.3,3.4
494,Gujarat_24,Sabarkantha_458,Prantij_3767,Ghadkan_164802,Ghadkan-2,,Piezometer,SGWD,SKTPZ-301,23.35,72.83,115.57,Confined I,80.3,78.3,80.9,78.5,84.4,80.4,86.9,86.5,93.7,81.2,94.2,88.95,89.0,82.6,90.2,87.3
495,Gujarat_24,Sabarkantha_458,Prantij_3767,Ghadkan_164802,Ghadkan-3,,Piezometer,SGWD,SKTPZ-302,23.35,72.83,143.15,Confined I,73.9,73.7,74.8,74.3,74.9,74.4,75.4,75.2,80.6,78.5,86.9,80.95,82.0,78.4,82.7,82.1
496,Gujarat_24,Sabarkantha_458,Prantij_3767,Ghadkan_164802,Ghadkan,,Piezometer,SGWD,SKTPZ-300,23.35,72.83,84.03,Unconfined,60.0,58.4,59.5,58.7,60.6,58.1,59.35,58.7,59.7,56.7,63.1,48.3,50.4,50.4,52.4,51.17
497,Gujarat_24,Sabarkantha_458,Prantij_3767,Kamalpur_164806,Kamalpur,,Piezometer,SGWD,HPII_SK_001,23.44,72.84,51.74,Unconfined,22.7,18.3,22.4,22.7,25.9,19.0,23.7,23.2,27.1,18.0,20.9,15.7,16.9,16.0,19.4,13.4
498,Gujarat_24,Sabarkantha_458,Prantij_3767,Kamalpur_164806,Sadoliya,Sadoliya,Piezometer,SGWD,SSSSKPZ-09,23.44361,72.82722,57.97,Unconfined,28.8,28.4,30.3,30.9,34.1,33.0,33.5,34.2,36.1,30.2,32.6,27.2,28.1,27.6,28.1,26.7
499,Gujarat_24,Sabarkantha_458,Prantij_3767,Limla_164810,Limla,Anwarpura Pz,Piezometer,CGWB,W232420072504401,23.41483,72.84118,200.0,Unconfined,36.22,38.16,36.69,38.88,42.19,38.41,39.91,43.5,44.06,38.0,36.45,32.7,33.45,35.23,33.07,36.45
500,Gujarat_24,Sabarkantha_458,Prantij_3767,Limla_164810,Katpur,Katpur,Piezometer,SGWD,SSSSKPZ-08,23.41556,72.84111,50.0,Unconfined,21.5,21.0,24.2,24.4,27.8,25.5,26.5,29.1,28.9,24.3,22.3,17.9,18.1,19.8,21.7,17.9
501,Gujarat_24,Sabarkantha_458,Prantij_3767,Poyada_164823,Poyada,,Piezometer,SGWD,SKTPZ-003,23.4,72.76,111.0,Confined I,81.2,73.4,78.5,70.0,83.3,76.0,86.1,80.3,86.6,79.5,86.2,78.8,85.8,78.1,87.3,82.1
503,Gujarat_24,Sabarkantha_458,Prantij_3767,Sitvada_164829,Sitvada,,Piezometer,SGWD,G_2_SK_019,23.4,72.79,112.0,Confined I,81.4,70.9,84.8,90.1,85.1,77.9,85.9,80.8,88.5,82.9,88.9,78.3,83.7,76.6,85.7,81.4
504,Gujarat_24,Sabarkantha_458,Prantij_3767,Unchha_164833,Unchha,Unchha,Piezometer,SGWD,SSSSKPZ-07,23.39722,72.87028,52.0,Unconfined,31.6,30.6,34.7,35.1,36.8,34.4,36.5,38.0,39.7,35.1,36.1,28.8,33.1,32.1,34.4,33.1
505,Gujarat_24,Sabarkantha_458,Talod_3768,,Talod,Talod,Piezometer,SGWD,SKTPZ-304,23.35611,72.95,60.0,Unconfined,1.9,1.4,2.5,1.45,2.4,1.8,2.3,1.2,2.3,1.7,4.7,2.2,2.5,1.5,3.9,0.8
506,Gujarat_24,Sabarkantha_458,Talod_3768,Aniod_164842,Aniod,Aniod,Piezometer,SGWD,SSSSKPZ-01,23.32528,73.06194,32.85,Unconfined,13.7,12.0,15.1,13.5,15.2,11.6,14.2,12.2,16.0,10.6,14.1,9.4,12.8,11.5,13.6,11.0
507,Gujarat_24,Sabarkantha_458,Talod_3768,Antrolivas Dolji_164845,Antrolivas Dolji,Antrolivas Dolji,Piezometer,SGWD,SKTPZ-303,23.40601,73.04527,60.0,Unconfined,5.9,3.6,6.6,3.1,7.1,2.6,4.4,4.2,7.7,2.2,5.7,2.6,5.5,3.0,5.6,2.8
508,Gujarat_24,Sabarkantha_458,Talod_3768,Badodara_164847,Badodara,Badodara,Piezometer,SGWD,SKTPZ-002,23.30139,73.015,53.0,Unconfined,24.2,21.5,24.6,21.7,25.1,17.9,22.3,21.5,25.3,15.9,19.1,14.7,24.8,23.9,29.5,27.0
509,Gujarat_24,Sabarkantha_458,Talod_3768,Harsol_164859,Harsol,Harsol,Piezometer,SGWD,SSSSKPZ-03,23.3475,72.99722,40.24,Unconfined,12.3,9.2,12.0,9.9,11.6,8.5,11.5,9.3,13.1,7.3,11.1,5.9,9.6,8.1,12.2,11.5
510,Gujarat_24,Sabarkantha_458,Talod_3768,Mahelav_164871,Mahelav,Mahelav,Piezometer,SGWD,G_2_SK_030,23.39472,72.98333,60.0,Unconfined,8.5,2.2,7.3,5.4,7.8,5.7,8.6,3.9,8.25,4.4,9.1,1.9,9.5,3.6,5.3,3.1
511,Gujarat_24,Sabarkantha_458,Talod_3768,Punsri_164883,Punsri,Punsri,Piezometer,SGWD,SKTPZ-004,23.39611,73.11111,27.36,Unconfined,14.5,13.0,14.6,13.7,15.4,13.1,14.5,13.9,15.6,14.7,16.5,14.6,15.8,14.8,16.2,15.5
512,Gujarat_24,Sabarkantha_458,Talod_3768,Umed Ni Muvadi_164893,Umed ni muvadi,Umed ni muvadi,Piezometer,SGWD,SSSSKPZ-04,23.35944,72.98389,28.8,Unconfined,9.3,5.1,10.7,8.1,12.7,5.0,11.1,10.5,13.9,6.1,11.2,3.1,10.8,6.5,11.5,7.2
513,Gujarat_24,Sabarkantha_458,Talod_3768,Varvada_164895,Varvada,Varvada,Dug Well,SGWD,SK-101A,23.44361,73.05333,12.0,Unconfined,8.4,5.8,10.2,4.4,8.9,6.7,9.5,6.8,10.9,4.0,7.6,4.7,8.8,5.1,10.2,5.5
514,Gujarat_24,Sabarkantha_458,Talod_3768,Vav_164896,Vav,Vav,Piezometer,SGWD,SSSSKPZ-02,23.34694,73.04333,27.33,Unconfined,8.4,6.35,8.5,8.0,9.6,5.7,9.8,6.1,8.3,4.9,6.3,3.2,4.9,4.0,5.4,4.5
515,Gujarat_24,Sabarkantha_458,Vadali_3762,,Vadali,,Piezometer,SGWD,SKTPZ-292,23.94,73.04,60.0,Unconfined,15.2,4.7,12.1,9.3,14.7,4.6,10.1,8.1,12.1,5.7,10.1,5.4,10.1,8.6,17.1,7.9
516,Gujarat_24,Sabarkantha_458,Vadali_3762,Babsar_164900,Babsar,,Piezometer,SGWD,G_1_SK_026,23.98,72.9,60.0,Unconfined,13.4,5.1,11.4,9.6,10.5,2.3,9.5,4.7,12.6,5.6,11.2,5.3,10.0,7.7,10.5,1.4
517,Gujarat_24,Sabarkantha_458,Vadali_3762,Bhavangadh_164904,Bhavangadh,,Piezometer,SGWD,G_1_SK_027,23.90336,72.95547,60.0,Unconfined,16.0,7.7,16.1,13.5,19.2,7.8,18.3,15.5,20.4,8.1,17.3,9.2,15.1,13.7,16.5,4.4
519,Gujarat_24,Sabarkantha_458,Vadali_3762,Chorivad_164905,Chorivad,Chorivad,Dug Well,SGWD,SK-038A,23.89639,73.11722,40.0,Unconfined,22.7,12.4,21.8,18.2,24.7,11.9,20.6,18.6,24.3,13.3,20.3,12.2,16.9,16.1,22.2,11.5
520,Gujarat_24,Sabarkantha_458,Vadali_3762,Dharod_164909,Dharod,,Piezometer,SGWD,G_1_SK_028,23.94,73.11,60.0,Unconfined,16.4,8.4,19.2,13.9,21.9,5.4,20.3,17.9,25.2,12.6,22.7,10.4,19.9,13.0,20.4,12.6
521,Gujarat_24,Sabarkantha_458,Vadali_3762,Gota_164914,Gota,,Piezometer,SGWD,G_1_SK_029,23.99,73.06,60.0,Unconfined,15.6,4.8,17.8,8.9,19.8,1.4,16.7,4.6,22.6,1.8,16.0,2.2,15.0,12.9,21.3,1.7
522,Gujarat_24,Sabarkantha_458,Vadali_3762,Hatharva_164915,Hatharva,,Piezometer,SGWD,SKTPZ-008,23.94,72.99,60.0,Unconfined,11.8,4.2,10.4,8.5,14.8,1.6,11.8,8.9,15.2,4.1,10.4,2.2,10.9,8.6,13.5,4.2
